"q","199","276","409","96","381","10.406","25.86","2.885","6.174","11.964"
"aidan","1020","300","529","580","524","13.85","16.399","0.063","0.068","0.056"
"aidan2","65","247","220","238","181","21.067","5.633","13.2","10.161","11.196"
"aidan3","137","1061","331","277","66","27.912","10.739","5.797","12.354","12.187"
"aidan4","173","234","144","265","184","27.423","31.078","18.962","23.198","11.476"
"aidan6","280","872","550","246","102","17.468","55.047","19.01","1.387","16.493"
"aidan","67","66","61","172","678","26.921","24.394","29.507","24.037","0.055"
"aidan","389","320","596","606","578","19.051","0.071","0.053","0.044","0.319"
"aidan","32","552","460","641","343","23.972","0.069","0.066","0.066","0.059"
"em dog","434","310","1240","686","86","11.853","23.735","24.401","13.341","0.067"
"aidan","112","173","441","998","635","22.448","0.073","0.052","0.059","0.05"
"trey","1063","122","788","697","826","25.564","0.062","21.717","0.066","7.547"
"carsipoo","93","597","430","584","144","13.932","11.429","5.957","4.813","7.335"
"twade","232","277","467","485","75","24.367","11.209","59.874","15.213","29.359"
"catchincarsada","207","65","66","207","122","14.315","17.188","15.955","15.644","14.617"
"ryan :)","312","437","441","104","554","11.496","15.228","14.695","10.25","0.056"
"jonny's lover","974","187","450","772","171","26.756","15.058","10.119","33.153","11.22"
